amount, unit, recipe, food
1, Pound(s), Ug6imgUsFi, WPyCGmQUDu
1, Pound(s), iCIsPdAmaC, WPyCGmQUDu
2, Pound(s), cyD9xSH41k, nincFGwIQB
3, Pound(s), oYJWKykP2t, nincFGwIQB
1.5 , Pound(s), GMShMgmzVA, hZCeHp7jtp
4, Breast Halve(s), ToPO9iGJBu, hZCeHp7jtp
2, Pound(s), CknfC2iTKT, ar2uhEnryB
.75, Pound(s), BVsm0Ncncw, ar2uhEnryB
1, Pound(s), aldHBVp99Q, ar2uhEnryB
1.25, Pound(s), k1qnh5NO0z, LeBTVG85Si
1.5, Pound(s), e6z1jnbkqu, LeBTVG85Si
1, Pound(s), V9HlBKat91, LeBTVG85Si
4, Pound(s), NyemRkvSMW, cRpEJJBNYd
1.5, Pound(s), OWGmRuXKI0, cRpEJJBNYd
4, Pound(s), X6bNEeCMHw, cRpEJJBNYd
2, Pound(s), J0Nv4wK5S3, cRpEJJBNYd
4, Cup(s), tDUjDBLjx2, 1rhYX2mcTn
1, Pound(s), yACZzVXa31, 1rhYX2mcTn
6, Whole, faKdAi750c, utHq5qCwqJ
3, Whole, 3VU2oCHdpJ, utHq5qCwqJ
1.5, Pound(s), LGe02Ij08h, ETzYoPxUaK
1.5, Pound(s), ZOU2bCI62R, ETzYoPxUaK
